mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110226_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,24,7.7333333333333334
All Vehicles - StL All Vehicles Sample Trip Counts,110206_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,14,4.5111111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110200_0,0: All Days (Mo-Su),2: Peak AM (6am-9am),3. Dec-Feb,41,13.21111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110193_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,16,5.1555555555555559
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110209_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,13,4.1888888888888891
All Vehicles - StL All Vehicles Sample Trip Counts,110099_0,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,10,3.2222222222222223
All Vehicles - StL All Vehicles Sample Trip Counts,110166_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,15,4.833333333333333
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110183_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,42,13.533333333333333
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110166_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,10,7.25
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110199_1,1: Weekday (Tu-Th),4: Peak PM (3pm-6pm),3. Dec-Feb,22,15.95
All Vehicles - StL All Vehicles Sample Trip Counts,110126_0,110200_0,1: Weekday (Tu-Th),4: Peak PM (3pm-6pm),3. Dec-Feb,10,7.25
All Vehicles - StL All Vehicles Sample Trip Counts,110206_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,26,8.3777777777777782
All Vehicles - StL All Vehicles Sample Trip Counts,110201_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,28,9.0222222222222221
